Round,Predator Population,Prey Population,Average Predator Level,Average Prey Level,Animal Team Winner
0,16,16,5.0,5.0,n/a
1,21,16,5.2,5.5,predator
2,16,18,5.9,6.0,prey
3,9,23,5.8,6.3,prey
